id;CensusTract;County;Borough;TotalPop;Men;Women;Hispanic;White;Black;Native;Asian;Citizen;Income;IncomeErr;IncomePerCap;IncomePerCapErr;Poverty;ChildPoverty;Professional;Service;Office;Construction;Production;Drive;Carpool;Transit;Walk;OtherTransp;WorkAtHome;MeanCommute;Employed;PrivateWork;PublicWork;SelfEmployed;FamilyWork;Unemployment;Latitude;Longitude;State;location
1707;36081050500;Queens;Queens;1456;721;735;21.6;44.4;2.3;0;30.6;927;62625;14975;31219;5304;12.9;30.7;48.5;11;20.2;10.8;9.5;25.8;7.9;59.4;5.8;0;1.1;43.1;734;78.1;15.8;6.1;0;10.5;407.287.437.186;-738.747.738.693;NY;40.7287437186 -73.8747738693
1708;36081050600;Queens;Queens;1686;721;965;5.9;0.8;82.5;0;7.5;1174;81875;14483;28375;5171;4;4.2;33.1;27;25.4;4.6;9.9;48.6;3;41;1;5.6;0.8;45.1;800;72.3;25.3;2.5;0;11.3;407.038.693.467;-737.608.040.201;NY;40.7038693467 -73.7608040201
1709;36081050700;Queens;Queens;3580;1660;1920;16.9;54.9;0.9;0;26.3;2427;75865;10041;30961;4334;12;8.3;36.2;21.1;28.4;8.7;5.5;40.8;9.3;44.1;0.8;0.5;4.5;42.2;1733;87.2;9.1;3.8;0;7.4;407.264.824.121;-738.842.713.568;NY;40.7264824121 -73.8842713568
1710;36081050800;Queens;Queens;2072;972;1100;3.8;1.4;81.4;0;9.1;1200;66250;25964;21958;3230;10.9;12.7;18;31;23.3;16.8;11;48.3;5.2;43.1;3.4;0;0;55.2;774;71.1;28.9;0;0;19.8;407.061.306.533;-73.757.638.191;NY;40.7061306533 -73.757638191
1711;36081051000;Queens;Queens;2096;1017;1079;5.9;0.6;75.1;0;12.6;1375;115069;44072;26155;3921;4.5;4.3;27;33.9;21;8.2;10;45.1;3.5;48.2;2.1;0;1.2;56.6;992;83.7;13.1;3.2;0;16.1;407.061.306.533;-737.544.723.618;NY;40.7061306533 -73.7544723618
1712;36081051100;Queens;Queens;1961;950;1011;15.1;76.2;0;0;8.7;1337;70337;10193;38638;7332;4.1;3.7;33.8;17.8;25;17.2;6.2;57;4.3;35.4;1;1.8;0.6;38.7;948;78.8;14.3;4.6;2.2;6.2;407.264.824.121;-739.032.663.317;NY;40.7264824121 -73.9032663317
1713;36081051200;Queens;Queens;2925;1324;1601;10.1;0.2;72;0;1.7;1777;68625;20046;23923;3870;11.6;22.8;27.5;22.8;28.9;9.7;11.1;40.5;4.3;51.7;0.6;1.4;1.5;55.9;1209;66.3;28.4;5.3;0;14.9;407.061.306.533;-737.513.065.327;NY;40.7061306533 -73.7513065327
1714;36081051300;Queens;Queens;2023;1060;963;20.2;46.3;0;0;33.5;1239;55281;8085;27391;3234;6.4;1.3;24.8;17.5;28;19.6;10.1;36.1;7;50;2.9;3.1;1;41.8;1063;84.6;12.1;3.3;0;5.2;407.310.050.251;-738.969.346.734;NY;40.7310050251 -73.8969346734
1715;36081051500;Queens;Queens;2693;1298;1395;22.7;72.1;1.9;0;3.1;1893;69560;9476;37826;5569;10.2;18.7;33.3;28.3;18;15.6;4.9;47.8;6.1;42.4;2.4;0;1.4;39.4;1452;77.8;16.7;5.4;0;4.2;407.287.437.186;-739.032.663.317;NY;40.7287437186 -73.9032663317
1716;36081051600;Queens;Queens;1866;942;924;14.6;1.3;83.2;0.5;0;1417;54620;14398;23741;3576;9.3;15.1;29;35.7;21.8;3.4;10.2;40.4;13.6;43.3;2.6;0;0;47.8;891;74.5;24;1.5;0;22.7;407.016.080.402;-737.481.407.035;NY;40.7016080402 -73.7481407035
1717;36081051700;Queens;Queens;1777;821;956;46;50.1;0.8;0.6;2.2;1093;59412;13051;28866;5474;14.6;22;27.7;23.7;29.4;9.5;9.7;35.8;6.1;44.3;10.5;2.8;0.5;38.5;870;79.5;10.1;10.3;0;10.3;407.242.211.055;-739.032.663.317;NY;40.7242211055 -73.9032663317
1718;36081051800;Queens;Queens;2441;1140;1301;10.3;0.1;89.2;0;0;1544;81397;12424;22970;4271;7;12.6;26.1;25;26.4;9.6;12.9;55.2;2.7;39.6;2.6;0;0;46.8;1098;69.7;29.3;1;0;19.6;406.993.467.337;-737.513.065.327;NY;40.6993467337 -73.7513065327
1719;36081052000;Queens;Queens;1640;738;902;6.2;1.8;89.7;0;1;1166;102625;33116;29181;3827;3.6;0;26;37.2;18.8;5.9;12.1;46.5;2.3;46.3;1.8;0;3.1;53.9;934;71.4;26.3;2.2;0;6.6;406.993.467.337;-737.544.723.618;NY;40.6993467337 -73.7544723618
1720;36081052100;Queens;Queens;1744;833;911;17;69.4;3.8;0;4.1;1117;60260;18426;27316;4030;15.9;24.3;27.7;18.5;28.5;13.6;11.7;38.2;9.7;46.5;4;1.5;0.2;35.6;949;81.7;14.8;3.6;0;5.5;407.196.984.925;-739.032.663.317;NY;40.7196984925 -73.9032663317
1721;36081052200;Queens;Queens;1854;851;1003;6.9;0.3;92;0;0;1258;81923;18145;28992;4639;6.9;7.3;32.9;26.7;27.8;3.9;8.8;43.8;2.4;48.4;0;0.6;4.8;54.6;854;73.1;21.3;5.6;0;14.5;406.993.467.337;-73.757.638.191;NY;40.6993467337 -73.757638191
1722;36081052400;Queens;Queens;1626;720;906;9.5;0;84.9;0;3;1122;75393;10876;33157;5833;9.9;27.3;20.9;34.2;24.4;6;14.4;37.3;2.8;52.2;2.9;1.2;3.6;57.6;962;78.6;18.8;2.6;0;11.8;406.993.467.337;-737.639.698.492;NY;40.6993467337 -73.7639698492
1723;36081052500;Queens;Queens;1840;887;953;23.5;65.1;1;0;10.4;1174;57813;13565;35791;13405;19.2;35;31.4;27.8;19.7;16.1;5;39.9;6.3;43;5.9;2.5;2.4;36.1;931;80.6;11.7;7.7;0;6.5;407.174.371.859;-739.095.979.899;NY;40.7174371859 -73.9095979899
1724;36081052600;Queens;Queens;1980;927;1053;14.2;2.2;73.3;0;2.6;1198;60729;9043;20876;2673;24.6;48.9;29.5;22.8;21.9;14.6;11.2;39.1;4.1;51.7;3.9;1.3;0;54.8;893;81.5;15.5;3;0;17.3;406.948.241.206;-737.608.040.201;NY;40.6948241206 -73.7608040201
1725;36081052800;Queens;Queens;1509;663;846;6.2;0;85.7;0;3.5;1035;57500;16352;25072;8690;13.3;14.6;21.5;29.2;35.7;4.1;9.5;40.2;1.9;55.7;0;0.8;1.6;63.7;661;82;18;0;0;13.7;406.925.628.141;-737.608.040.201;NY;40.6925628141 -73.7608040201
1726;36081053000;Queens;Queens;2311;1072;1239;4.5;0;91;1.1;0;1477;64583;10749;23108;2317;7.8;17;17.7;37.8;27.4;3.4;13.7;40.5;4.7;47.9;5.2;0;1.7;57.7;1251;81.6;17.6;0.8;0;9;406.948.241.206;-737.544.723.618;NY;40.6948241206 -73.7544723618
1727;36081053100;Queens;Queens;2785;1355;1430;32.6;62.7;0;0;4.6;2017;41605;9977;25523;3940;16.7;13.5;23.2;26.8;20.6;13.5;15.9;30.5;8.8;46.2;6.5;1.7;6.2;47.7;1252;80.4;10;8.1;1.6;17.4;40.721.959.799;-739.127.638.191;NY;40.721959799 -73.9127638191
1728;36081053200;Queens;Queens;1699;747;952;4.6;1.8;85.6;0;1.3;1202;86950;7047;30011;3202;4.9;8.4;34.5;25.7;20.5;5.8;13.4;60.8;2.9;33.1;2.5;0;0.7;49.7;863;65.5;33.8;0.7;0;17.2;406.970.854.271;-737.513.065.327;NY;40.6970854271 -73.7513065327
1729;36081053401;Queens;Queens;2016;887;1129;5.9;3.8;85.9;0;1.6;1434;65583;25155;30099;4056;2;4.2;41.9;18;21.2;5.1;13.8;49.3;2.5;41.8;5.6;0;0.8;50.8;952;66.4;32.4;1.3;0;7;406.970.854.271;-737.449.748.744;NY;40.6970854271 -73.7449748744
1730;36081053500;Queens;Queens;1328;626;702;75.7;17.8;0;0;6.5;547;50750;11247;16455;2285;17.8;23;12.6;35.4;29.2;15.9;6.9;25.6;0;67.5;2;1.3;3.6;44.2;554;85;11.4;3.6;0;9.3;407.151.758.794;-739.222.613.065;NY;40.7151758794 -73.9222613065
1731;36081053601;Queens;Queens;1759;874;885;13.4;0;75.3;3;2.2;1252;65750;27151;25543;2941;6;11.6;32.8;28.1;20.4;8.4;10.4;38.4;1.9;56.7;0.7;2.4;0;50.1;850;79.4;19.4;1.2;0;11.4;407.038.693.467;-737.481.407.035;NY;40.7038693467 -73.7481407035
1732;36081053800;Queens;Queens;1720;719;1001;1.7;1;90.9;0.7;3.4;1138;74844;21052;22602;5014;6.6;4;16.7;26.7;40.5;2.8;13.4;52.5;4.2;39.8;0.3;1.3;1.9;46.2;749;77.8;16.8;5.3;0;9.7;407.038.693.467;-737.418.090.452;NY;40.7038693467 -73.7418090452
